pre_hit_joints  ,-0.441393, 1.16785, 0.217315, -1.45655, -1.94664, -1.573, -2.59247
post_hit_joints ,-0.422451, 1.19429, 0.232827, -1.42557, -1.93786, -1.5633, -2.58263
pre_hit_ee      ,0.543318, -0.0871451, 0.16163, -0.505192, -0.493858, -0.510983, 0.489676, 0.502856, 0.678905, -0.433648, 0.504745, -0.0315042, 0.22478
post_hit_ee     ,0.551856, -0.0755779, 0.154979, -0.50189, -0.492825, -0.51219, 0.49284, 0.473704, 0.650821, -0.313243, 0.54056, -0.0185605, 0.318752
pre_hit_object  ,0.55, 0.1, 0.165
end_object      ,0.555247, 0.523386, 0.164996


trial_no.       ,9
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.412835, 1.19144, 0.197221, -1.38403, -1.92164, -1.59277, -2.55265
post_hit_joints ,-0.393909, 1.21853, 0.212486, -1.35061, -1.91278, -1.58344, -2.54155
pre_hit_ee      ,0.561867, -0.0915402, 0.163823, -0.50692, -0.493361, -0.51095, 0.488424, 0.464189, 0.695145, -0.449869, 0.503763, -0.0406543, 0.183358
post_hit_ee     ,0.578405, -0.0684766, 0.151151, -0.500134, -0.491137, -0.513583, 0.494856, 0.497825, 0.65147, -0.325386, 0.545419, -0.0264239, 0.293541
pre_hit_object  ,0.575, 0.1, 0.165
end_object      ,0.580009, 0.516689, 0.165


trial_no.       ,10
box_properties  ,0.26, 0.26, 0.23, 0, 0, 0, 0.363, 0.1, 0.1
pre_hit_joints  ,-0.390986, 1.22221, 0.182376, -1.30163, -1.90134, -1.61428, -2.50731
post_hit_joints ,-0.373199, 1.24946, 0.199845, -1.27031, -1.89387, -1.60158, -2.49801
pre_hit_ee      ,0.58932, -0.0851444, 0.157379, -0.504266, -0.490924, -0.513172, 0.491288, 0.42154, 0.720895, -0.461671, 0.520302, -0.0435446, 0.156695
