Index,RecSession,HitNumber,IiwaNumber,DesiredFlux,HittingFlux,DistanceTraveled,HittingInertia,ObjectPos,HittingPos,ObjectOrientation,HittingOrientation
10,2024-03-05_12:20:48,18,14,1.2,0.9069692492485046,0.4746002136277929,5.883223875405043,"[0.5075461268424988, -0.3356439173221588, 0.20411454141139984]","[0.4755682945251465, -0.14263290166854858, 0.20291481912136078]",[ 0.00295442 -0.00560673  0.33369649  0.94265927],[ 0.47755721 -0.46838027  0.53995681  0.51088715]
11,2024-03-05_12:20:48,81,7,1.2,0.9628720879554749,0.6779401664971946,3.739230321765352,"[0.5713968873023987, 0.23781418800354004, 0.2056667059659958]","[0.5251187086105347, 0.10799859464168549, 0.2230507880449295]",[ 0.00505959 -0.00624146  0.08483516  0.9963626 ],[-0.65931554 -0.00895764 -0.02059962  0.75153073]
12,2024-03-05_12:20:48,24,14,1.2,0.7372617721557617,0.3529247234916309,4.947596611366085,"[0.599033772945404, -0.1532924473285675, 0.20541851222515106]","[0.5457276701927185, 0.03295941650867462, 0.2194117158651352]",[ 0.00761402 -0.00932148 -0.22262083  0.97483081],[ 0.48578214 -0.47263401  0.53588282  0.5034505 ]
13,2024-03-05_12:20:48,83,7,1.2,0.9895302653312683,0.42296860494328503,4.0363223434763364,"[0.5942603349685669, 0.3307553231716156, 0.2058688849210739]","[0.545418381690979, 0.19610941410064697, 0.2322089672088623]",[ 0.00930882 -0.00991047 -0.60435994  0.79659538],[-0.65606129 -0.00236685 -0.02549582  0.75427312]
14,2024-03-05_12:20:48,27,7,1.2,0.9641765356063843,0.4609415443667691,3.8959538055480345,"[0.5971757173538208, 0.2867671847343445, 0.20614777505397797]","[0.5570971965789795, 0.15636970102787018, 0.22668594121932983]",[ 0.00365319 -0.00664953  0.15209768  0.98833635],[-0.65326698 -0.00587755 -0.02257507  0.75676818]
15,2024-03-05_12:20:48,68,14,1.2,0.760890007019043,0.3952909968226828,5.0087446653839205,"[0.5943936705589294, -0.17938914895057678, 0.2054106444120407]","[0.5360482931137085, 0.011651899665594101, 0.21709701418876648]",[ 0.00191534 -0.00302267  0.49888872  0.86665867],[ 0.48263079 -0.47529307  0.53689802  0.50289614]
16,2024-03-05_12:20:48,1,7,1.2,0.9363009929656982,0.6269414822369951,3.765408023176139,"[0.6151289939880371, 0.23733827471733093, 0.2066357582807541]","[0.5881956815719604, 0.11081965267658234, 0.22338859736919403]",[-2.02066312e-03  2.21124023e-04  7.48803181e-01  6.62789306e-01],[-0.64788878 -0.00925563 -0.01750518  0.76147753]
17,2024-03-05_12:20:48,85,7,1.2,0.9538301229476929,0.6417320048141861,3.9424694034874084,"[0.6176674962043762, 0.29136380553245544, 0.2062637060880661]","[0.5940179824829102, 0.16758041083812714, 0.22647832334041595]",[-0.00927559  0.00755933  0.99645815 -0.0832345 ],[-0.64979112 -0.00731537 -0.02076242  0.75979399]
18,2024-03-05_12:20:48,15,7,1.2,0.8193079829216003,0.5059496236648933,3.620411720772894,"[0.6423122882843018, 0.19799911975860596, 0.20694784820079803]","[0.6462255716323853, 0.026976116001605988, 0.22576700150966644]",[ 0.00671347 -0.00859424 -0.23396859  0.97218299],[-0.64706159 -0.00556251 -0.01112132  0.76233632]
19,2024-03-05_12:20:48,30,14,1.2,0.8234400749206543,0.28932608323550735,5.061753456981194,"[0.5616123676300049, -0.17302945256233215, 0.2049965113401413]","[0.5178056359291077, -0.01324152760207653, 0.22600267827510834]",[ 0.00607367 -0.00729395 -0.00606569  0.99993656],[ 0.47959238 -0.47809616  0.53073573  0.50964183]
20,2024-03-05_12:20:48,22,14,1.2,0.84572833776474,0.3263842035709619,5.563379790123313,"[0.5614801645278931, -0.24426057934761047, 0.20490233600139618]","[0.49317455291748047, -0.09752236306667328, 0.2254759669303894]",[ 0.00994278 -0.01030065 -0.65686406  0.75387309],[ 0.48492675 -0.47038113  0.54124492  0.50064116]
21,2024-03-05_12:20:48,44,14,1.2,0.8592286109924316,0.5458167142777558,5.133567890844317,"[0.4840007722377777, -0.2098998725414276, 0.203802689909935]","[0.49085959792137146, -0.03366722911596298, 0.18495872616767883]",[-0.00971787  0.00899537  0.9627478  -0.27007652],[ 0.48018207 -0.48291208  0.52456571  0.5109324 ]
22,2024-03-05_12:20:48,90,14,1.2,0.8292911648750305,0.3376086558744115,5.330238443845849,"[0.5718069672584534, -0.21244940161705017, 0.20507358014583588]","[0.5055534839630127, -0.06406960636377335, 0.2160084992647171]",[-0.0086813   0.0075146   0.99851097 -0.05332933],[ 0.48272982 -0.46992614  0.54111498  0.50332486]
23,2024-03-05_12:20:48,21,7,1.2,0.9880841970443726,0.5646804614933368,4.257454287261159,"[0.6158266067504883, 0.3669832646846771, 0.20636771619319916]","[0.5775846838951111, 0.2434692084789276, 0.2354249805212021]",[-0.00794794  0.00744587  0.99952834 -0.02871389],[-6.54084141e-01 -3.65139739e-04 -2.33067589e-02  7.56062562e-01]
24,2024-03-05_12:20:48,87,7,1.2,0.9384852647781372,0.6146056521246597,3.91522618792167,"[0.6248424649238586, 0.2804766595363617, 0.20636354386806488]","[0.6088644862174988, 0.1582903265953064, 0.22528691589832306]",[-0.00850246  0.00763547  0.99543825 -0.09472112],[-0.64743805 -0.0080003  -0.01946506  0.76182746]
25,2024-03-05_12:20:48,39,7,1.2,0.9586165547370911,0.5740286279455965,3.7731459236458864,"[0.5922083854675293, 0.24492096900939941, 0.20623092353343964]","[0.5476771593093872, 0.11800386756658554, 0.22558657824993134]",[ 0.00951006 -0.00988956 -0.64023343  0.76805788],[-0.65334303 -0.00766906 -0.0225218   0.75668807]
26,2024-03-05_12:20:48,35,7,1.2,0.9916607737541199,0.6725932167304571,3.847478354056329,"[0.5719669461250305, 0.271095871925354, 0.2057785838842392]","[0.5218036770820618, 0.1428615301847458, 0.2289613038301468]",[ 0.00468523 -0.00598204  0.08148026  0.99664599],[-0.65725284 -0.0062284  -0.02337344  0.75328188]
27,2024-03-05_12:20:48,82,14,1.2,0.7678626179695129,0.44510843888624857,5.157771531370672,"[0.6353991627693176, -0.21164879202842712, 0.20593522489070892]","[0.5917953252792358, -0.015947723761200905, 0.21214841306209564]",[ 0.0087153  -0.00997585 -0.40335325  0.91494846],[ 0.4662059  -0.46702648  0.54673923  0.51537806]
28,2024-03-05_12:20:48,67,7,1.2,0.9927487373352051,0.6253035800369753,4.019927340575076,"[0.593546986579895, 0.3185228705406189, 0.2060958594083786]","[0.5412381887435913, 0.19200775027275085, 0.23488591611385345]",[-2.11792513e-03  7.47797008e-04  7.49129197e-01  6.62420110e-01],[-0.65626342 -0.00206895 -0.02667801  0.75405724]
29,2024-03-05_12:20:48,33,7,1.2,0.9969229102134705,0.6033798263055671,4.24659255959837,"[0.5977503657341003, 0.41977325081825256, 0.2060050219297409]","[0.5457199811935425, 0.24518080055713654, 0.23959875106811523]",[ 0.00125882 -0.00386341  0.45576518  0.89009078],[-0.6579022   0.00231015 -0.02588973  0.75265469]
30,2024-03-05_12:20:48,61,7,1.2,0.9989067912101746,0.5726861427020837,3.9164605009139146,"[0.5559092164039612, 0.28133198618888855, 0.2055777758359909]","[0.5000880360603333, 0.1628294736146927, 0.23182272911071777]",[-2.42912908e-03  6.66441690e-04  7.62970631e-01  6.46428241e-01],[-0.65973008 -0.00632237 -0.02365886  0.75110353]
31,2024-03-05_12:20:48,19,7,1.2,0.9638280272483826,0.6389946120070781,4.1616994259535804,"[0.38663026690483093, 0.33320698142051697, 0.20200549066066742]","[0.45901399850845337, 0.20421360433101654, 0.23313815891742706]",[ 0.0011105  -0.00441471  0.42820156  0.90367179],[-0.65381856 -0.00870798 -0.00436686  0.75658865]
32,2024-03-05_12:20:48,71,7,1.2,1.0291274785995483,0.5743594062466313,3.9803308659332357,"[0.5273328423500061, 0.3306002914905548, 0.2049802988767624]","[0.46824467182159424, 0.17722485959529877, 0.2302081286907196]",[ 0.00295508 -0.00564015  0.25399425  0.96718477],[-0.66290467 -0.00872158 -0.02053635  0.74837129]
33,2024-03-05_12:20:48,47,7,1.2,0.9782808423042297,0.6511861350591168,3.8316275231874197,"[0.5750063061714172, 0.26467791199684143, 0.20569388568401337]","[0.5244550108909607, 0.13906562328338623, 0.22927522659301758]",[-0.00948471  0.00764514  0.99852948 -0.05282492],[-0.65583604 -0.00672944 -0.02330646  0.75451349]
